"band_id","member_uri","name","current_member","member_id"
86,"  http://dbpedia.org/resource/Airto_Moreira  ","  Airto Moreira   ",True,138
89,"  http://dbpedia.org/resource/Robbie_Shakespeare  ","  Robbie Shakespeare   ",True,9154
89,"  http://dbpedia.org/resource/Robbie_Shakespeare  ","  Robert Shakespeare   ",True,9154
89,"  http://dbpedia.org/resource/Sly_Dunbar  ","  Sly Dunbar   ",True,10024
91,"  http://dbpedia.org/resource/Vinnie_Amico  ","  Vinnie Amico   ",True,11241
91,"  http://dbpedia.org/resource/Al_Schnier  ","  Al Schnier   ",True,359
91,"  http://dbpedia.org/resource/Rob_Derhak  ","  Rob Derhak   ",True,9169
91,"  http://dbpedia.org/resource/Chuck_Garvey  ","  Chuck Garvey   ",True,1936
93,"  http://dbpedia.org/resource/Mick_Whitnall  ","  Mick Whitnall   ",True,7550
93,"  http://dbpedia.org/resource/Pete_Doherty  ","  Pete Doherty   ",True,8525
93,"  http://dbpedia.org/resource/Drew_McConnell  ","  Drew McConnell   ",True,3040
95,"  http://dbpedia.org/resource/Nana_Kitade  ","  Nana Kitade   ",True,7861
97,"  http://dbpedia.org/resource/Gail_Greenwood  ","  Gail Greenwood   ",True,3578
97,"  http://dbpedia.org/resource/Tanya_Donelly  ","  Tanya Donelly   ",True,10490
98,"  http://dbpedia.org/resource/Robert_Sarzo  ","  Robert Sarzo   ",True,9206
103,"  http://dbpedia.org/resource/Jim_McIntyre_(musician)  ","  Jim McIntyre   ",True,5007
111,"  http://dbpedia.org/resource/Babis_Stokas  ","  Babis Stokas   ",True,759
111,"  http://dbpedia.org/resource/Filippos_Pliatsikas  ","  Filippos Pliatsikas   ",True,3400
112,"  http://dbpedia.org/resource/Kee_Marcello  ","  Kee Marcello Löfbom   ",True,5967
112,"  http://dbpedia.org/resource/Kee_Marcello  ","  Kee Marcello   ",True,5967
112,"  http://dbpedia.org/resource/Zinny_J._Zan  ","  Zinny J. Zan   ",True,11532
116,"  http://dbpedia.org/resource/Michael_Doucet  ","  Michael Doucet   ",True,7405
123,"  http://dbpedia.org/resource/Dirk_Verbeuren  ","  Dirk Verbeuren   ",True,2859
123,"  http://dbpedia.org/resource/Anders_Odden  ","  Anders Odden   ",True,410
126,"  http://dbpedia.org/resource/Jase4Real  ","  Jase (of Soul For Real)   ",True,4601
126,"  http://dbpedia.org/resource/Jase4Real  ","  Jase4Real   ",True,4601
127,"  http://dbpedia.org/resource/Alec_Ounsworth  ","  Alec Ounsworth   ",True,221
136,"  http://dbpedia.org/resource/Jon_Kintz  ","  Jon Kintz   ",True,5618
138,"  http://dbpedia.org/resource/Christofer_Johnsson  ","  Christofer Johnsson   ",True,1886
138,"  http://dbpedia.org/resource/Lars_Rosenberg  ","  Lars Rosenberg   ",True,6359
138,"  http://dbpedia.org/resource/Piotr_Wawrzeniuk  ","  Piotr Wawrzeniuk   ",True,8751
139,"  http://dbpedia.org/resource/Dino_Cazares  ","  Dino Cazares   ",True,2852
144,"  http://dbpedia.org/resource/Sebastian_Komor  ","  Sebastian Komor   ",True,9775
144,"  http://dbpedia.org/resource/Sebastian_Komor  ","  Sebastian R. Komor   ",True,9775
144,"  http://dbpedia.org/resource/Andy_LaPlegua  ","  Andy LaPlegua   ",True,514
145,"  http://dbpedia.org/resource/Simon_Toulson-Clarke  ","  Simon Toulson-Clarke   ",True,9974
150,"  http://dbpedia.org/resource/Aska_(singer)  ","  Aska   ",True,706
152,"  http://dbpedia.org/resource/Jeff_Suffering  ","  Jeff Suffering   ",True,4804
154,"  http://dbpedia.org/resource/Butch_Walker  ","  Butch Walker   ",True,1454
158,"  http://dbpedia.org/resource/Wednesday_13  ","  Wednesday 13   ",True,11324
160,"  http://dbpedia.org/resource/Ronny_Thorsen  ","  Ronny Thorsen   ",True,9394
160,"  http://dbpedia.org/resource/Krister_Dreyer  ","  Krister Dreyer   ",True,6260
164,"  http://dbpedia.org/resource/Jean-Paul_'Bluey'_Maunick  ","  Jean-Paul 'Bluey' Maunick   ",True,4730
164,"  http://dbpedia.org/resource/Maysa_Leak  ","  Maysa Leak   ",True,7314
164,"  http://dbpedia.org/resource/Tony_Momrelle  ","  Tony Momrelle   ",True,10997
164,"  http://dbpedia.org/resource/Imaani  ","  Imaani Saleem   ",True,4312
164,"  http://dbpedia.org/resource/Imaani  ","  Imaani   ",True,4312
166,"  http://dbpedia.org/resource/Mitchy_Slick  ","  Mitchy Slick   ",True,7760
168,"  http://dbpedia.org/resource/Armagedda  ","  Armagedda   ",True,657
168,"  http://dbpedia.org/resource/King_ov_Hell  ","  King ov Hell   ",True,6192
171,"  http://dbpedia.org/resource/Jon_Dette  ","  Jon Dette   ",True,5602
171,"  http://dbpedia.org/resource/Lee_Altus  ","  Lee Altus   ",True,6401
171,"  http://dbpedia.org/resource/David_White_(heavy_metal_vocalist)  ","  David White   ",True,2662
171,"  http://dbpedia.org/resource/Jason_Viebrooks  ","  Jason Viebrooks   ",True,4667
172,"  http://dbpedia.org/resource/Michael_Benjamin_Lerner  ","  Michael Benjamin Lerner   ",True,7380
173,"  http://dbpedia.org/resource/Mitch_Harris  ","  Mitch Harris   ",True,7758
177,"  http://dbpedia.org/resource/Flea_(musician)  ","  Flea   ",True,3411
177,"  http://dbpedia.org/resource/Thom_Yorke  ","  Thom Yorke   ",True,10678
